ticker,title,publisher,link,publish_date,summary,type,related_tickers,category
^IXIC,"Equities Mostly Rise as Markets Analyze Nvidia Results, Macro Data",MT Newswires,https://finance.yahoo.com/news/equities-mostly-rise-markets-analyze-214815922.html,2024-11-21 14:48:15,"Equities Mostly Rise as Markets Analyze Nvidia Results, Macro Data Sign in to access your portfolio",STORY,"NVDA, COMP, ^GSPC",General
^IXIC,"How major US stock indexes fared Thursday, 11/21/2024",Associated Press,https://finance.yahoo.com/news/major-us-stock-indexes-fared-212104497.html,2024-11-21 14:21:04,"U.S. stocks climbed after market superstar Nvidia and another round of companies said they’re making even fatter profits than expected. The S&P 500 pulled 0.5% higher Thursday after flipping between modest gains and losses several times in the morning. The Dow Jones Industrial Average jumped 1.1%, and the Nasdaq composite edged up less than 0.1%. Banks, smaller companies and other areas of the stock market that tend to do best when the economy is strong helped lead the way, while bitcoin briefly...",STORY,"COMP, ^DJI, ^GSPC, ^RUT",General
^IXIC,"Stock market today: Dow, S&P 500 jump after Nvidia earnings, while Alphabet tumbles",Yahoo Finance,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-jump-after-nvidia-earnings-while-alphabet-tumbles-172831555.html,2024-11-21 14:04:51,"US stocks whipsawed Thursday as investors digested Nvidia's (NVDA) earnings and a tumble from Alphabet (GOOG, GOOGL) amid a Department of Justice move to break up its empire. The Dow Jones Industrial Average (^DJI) led the way higher, gaining over 450 points, or about 1.1%. The S&P 500 (^GSPC) gained 0.5%, and tech-heavy Nasdaq Composite (^IXIC) pared earlier losses to finish just above the flat line. Investors gravitated toward Utilities (XLU), Industrials (XLI) and Financials (XLF) while rotat...",STORY,"^DJI, ES=F, ^GSPC, YM=F, NVDA, ^IXIC, NQ=F",General
^IXIC,S&P 500 Marks 4th Day of Gains. Dow Soars 460 Points.,Barrons.com,https://finance.yahoo.com/m/bc3791e1-8258-3524-aba5-23d8ff3d53fa/s%26p-500-marks-4th-day-of.html,2024-11-21 14:02:10,"The S&P 500 shook off some early jitters in the wake of Nvidia’s latest earnings report to rise for its fourth day in a row. The Dow Jones Industrial Average was up 462 points, or 1.1%. The Nasdaq Composite was up slightly. Sign in to access your portfolio",STORY,"COMP, ^GSPC, ^DJI, NVDA",General
^IXIC,"Equities Higher as Traders Analyze Nvidia Results, Macro Data",MT Newswires,https://finance.yahoo.com/news/equities-higher-traders-analyze-nvidia-205054461.html,2024-11-21 13:50:54,"Equities Higher as Traders Analyze Nvidia Results, Macro Data Sign in to access your portfolio",STORY,"NVDA, COMP",General
^DJI,Nvidia earnings adjust chances for S&P 500 record year,TheStreet,https://finance.yahoo.com/m/ea8ab46f-7aa0-3d99-8838-87f45cfdf037/nvidia-earnings-adjust.html,2024-11-21 18:03:00,"The S&P 500 has a shot at notching its best annual gain on record this year, partly thanks to the stunning first-half performance of megacap tech stocks and the late-autumn rally powered by Trump Trade bets on stronger economic growth and fatter corporate profits. The broadest benchmark of U.S. shares is now up a bit more than 24% this year, gaining around 3.7% this month after President-elect Donald Trump's early November victory and the second consecutive interest rate cut from the Federal Res...",STORY,"^GSPC, NVDA, ^DJI",General
^DJI,"How major US stock indexes fared Thursday, 11/21/2024",Associated Press,https://finance.yahoo.com/news/major-us-stock-indexes-fared-212104497.html,2024-11-21 14:21:04,"U.S. stocks climbed after market superstar Nvidia and another round of companies said they’re making even fatter profits than expected. The S&P 500 pulled 0.5% higher Thursday after flipping between modest gains and losses several times in the morning. The Dow Jones Industrial Average jumped 1.1%, and the Nasdaq composite edged up less than 0.1%. Banks, smaller companies and other areas of the stock market that tend to do best when the economy is strong helped lead the way, while bitcoin briefly...",STORY,"COMP, ^DJI, ^GSPC, ^RUT",General
^DJI,"Stock market today: Dow, S&P 500 jump after Nvidia earnings, while Alphabet tumbles",Yahoo Finance,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-jump-after-nvidia-earnings-while-alphabet-tumbles-172831555.html,2024-11-21 14:04:51,"US stocks whipsawed Thursday as investors digested Nvidia's (NVDA) earnings and a tumble from Alphabet (GOOG, GOOGL) amid a Department of Justice move to break up its empire. The Dow Jones Industrial Average (^DJI) led the way higher, gaining over 450 points, or about 1.1%. The S&P 500 (^GSPC) gained 0.5%, and tech-heavy Nasdaq Composite (^IXIC) pared earlier losses to finish just above the flat line. Investors gravitated toward Utilities (XLU), Industrials (XLI) and Financials (XLF) while rotat...",STORY,"^DJI, ES=F, ^GSPC, YM=F, NVDA, ^IXIC, NQ=F",General
^DJI,S&P 500 Marks 4th Day of Gains. Dow Soars 460 Points.,Barrons.com,https://finance.yahoo.com/m/bc3791e1-8258-3524-aba5-23d8ff3d53fa/s%26p-500-marks-4th-day-of.html,2024-11-21 14:02:10,"The S&P 500 shook off some early jitters in the wake of Nvidia’s latest earnings report to rise for its fourth day in a row. The Dow Jones Industrial Average was up 462 points, or 1.1%. The Nasdaq Composite was up slightly.",STORY,"COMP, ^GSPC, ^DJI, NVDA",General
^DJI,The Dow jumped more than 500 points after Nvidia’s big earnings,Quartz,https://finance.yahoo.com/m/9aaf159c-7039-30a4-8f6c-0e91bc09a3a4/the-dow-jumped-more-than-500.html,2024-11-21 11:42:00,"The Dow surged by over 570 points Thursday afternoon, buoyed by strong earnings from Nvidia (NVDA), which briefly hit a 52-week high of $152.89 per share earlier in the day. Meanwhile, shares of Super Micro Computer (SMCI) rose over 14% after Nvidia mentioned its partner during an earnings call on Wednesday. Considering Super Micro’s previous accounting issues, investors might feel reassured that the partnership is strong enough for the company to be featured. As a reseller of Nvidia’s GPUs and ...",STORY,"NVDA, SMCI, ^DJI",General
